,open,high,low,close,volume
2020-09-24,426.6,433.45,414.95,418.85,1444173
2020-09-25,429.0,444.95,422.4,439.7,838336
2020-09-28,446.0,447.6,434.0,443.4,736447
2020-09-29,446.0,446.0,429.6,435.45,443984
2020-09-30,438.1,440.3,418.25,420.9,1286328
2020-10-01,427.9,434.45,424.15,432.35,405004
2020-10-05,432.85,437.5,423.0,424.35,723863
2020-10-06,428.0,429.5,423.25,426.75,357998
2020-10-07,427.1,431.6,421.0,422.5,520239
2020-10-08,426.0,435.25,419.25,424.5,807466
2020-10-09,427.0,434.95,423.45,425.15,840346
2020-10-12,431.15,431.15,412.05,415.25,281077
2020-10-13,420.0,427.35,413.25,415.35,1130916
2020-10-14,416.0,419.4,411.4,413.35,516369
2020-10-15,413.35,415.4,395.1,399.15,2259168
2020-10-16,403.45,407.05,398.4,401.55,558312
2020-10-19,404.55,404.55,394.05,397.25,391713
2020-10-20,397.3,413.2,397.0,404.85,627076
2020-10-21,405.9,420.5,404.0,419.05,506573
2020-10-22,418.85,432.0,417.95,430.65,2307398
2020-10-23,433.0,437.3,427.3,434.35,841759
2020-10-26,435.6,439.4,428.05,434.05,324821
2020-10-27,434.5,438.7,427.55,433.0,551098
2020-10-28,446.4,487.8,443.2,451.45,3979838
2020-10-29,448.8,456.95,445.1,450.8,492585
2020-10-30,453.3,453.3,430.7,433.6,1155983
2020-11-02,434.9,460.0,434.65,457.55,613710
2020-11-03,457.1,460.0,447.4,454.55,794007
2020-11-04,454.0,455.45,447.2,452.7,949145
2020-11-05,455.25,461.95,452.45,457.4,186795
2020-11-06,459.0,460.35,448.85,449.75,410723
2020-11-09,459.4,474.75,453.0,471.9,512400
2020-11-10,474.9,474.9,465.0,466.4,607314
2020-11-11,468.7,481.15,464.2,478.35,955227
2020-11-12,477.0,483.3,475.1,479.65,380444
2020-11-13,478.0,478.05,469.85,475.85,985157
2020-11-17,490.0,494.65,481.5,484.6,349822
2020-11-18,481.7,484.85,471.0,478.5,548364
2020-11-19,476.0,481.3,467.1,468.6,582482
2020-11-20,470.5,485.55,465.05,483.5,756492
2020-11-23,487.85,488.0,475.1,477.05,280087
2020-11-24,480.0,481.35,471.45,474.15,247436
2020-11-25,476.9,477.9,458.85,463.95,619242
2020-11-26,475.0,475.0,460.75,468.3,281903
